municipio_norm,uf,municipio_ibge,codigo_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
DESCANSO,SC,Descanso,4204905,Chapecó,São Miguel do Oeste,Oeste Catarinense
DIONISIO CERQUEIRA,SC,Dionísio Cerqueira,4205001,Chapecó,São Miguel do Oeste,Oeste Catarinense
DONA EMMA,SC,Dona Emma,4205100,Blumenau,Ibirama - Presidente Getúlio,Vale do Itajaí
DOUTOR PEDRINHO,SC,Doutor Pedrinho,4205159,Blumenau,Blumenau,Vale do Itajaí
ENTRE RIOS,SC,Entre Rios,4205175,Chapecó,Xanxerê,Oeste Catarinense
ERMO,SC,Ermo,4205191,Criciúma,Araranguá,Sul Catarinense
ERVAL VELHO,SC,Erval Velho,4205209,Chapecó,Joaçaba - Herval d'Oeste,Oeste Catarinense
FAXINAL DOS GUEDES,SC,Faxinal dos Guedes,4205308,Chapecó,Xanxerê,Oeste Catarinense
FLOR DO SERTAO,SC,Flor do Sertão,4205357,Chapecó,São Miguel do Oeste,Oeste Catarinense
FLORIANOPOLIS,SC,Florianópolis,4205407,Florianópolis,Florianópolis,Grande Florianópolis
FORMOSA DO SUL,SC,Formosa do Sul,4205431,Chapecó,Chapecó,Oeste Catarinense
FORQUILHINHA,SC,Forquilhinha,4205456,Criciúma,Criciúma,Sul Catarinense
FRAIBURGO,SC,Fraiburgo,4205506,Caçador,Videira,Oeste Catarinense
FREI ROGERIO,SC,Frei Rogério,4205555,Lages,Curitibanos,Serrana
GALVAO,SC,Galvão,4205605,Chapecó,São Lourenço do Oeste,Oeste Catarinense
GAROPABA,SC,Garopaba,4205704,Florianópolis,Florianópolis,Sul Catarinense
GARUVA,SC,Garuva,4205803,Joinville,Joinville,Norte Catarinense
GASPAR,SC,Gaspar,4205902,Blumenau,Blumenau,Vale do Itajaí
GOVERNADOR CELSO RAMOS,SC,Governador Celso Ramos,4206009,Florianópolis,Florianópolis,Grande Florianópolis
GRAO PARA,SC,Grão-Pará,4206108,Criciúma,Tubarão,Sul Catarinense
GRAVATAL,SC,Gravatal,4206207,Criciúma,Tubarão,Sul Catarinense
GUABIRUBA,SC,Guabiruba,4206306,Blumenau,Brusque,Vale do Itajaí
GUARACIABA,SC,Guaraciaba,4206405,Chapecó,São Miguel do Oeste,Oeste Catarinense
GUARAMIRIM,SC,Guaramirim,4206504,Joinville,Joinville,Norte Catarinense
GUARUJA DO SUL,SC,Guarujá do Sul,4206603,Chapecó,São Miguel do Oeste,Oeste Catarinense
GUATAMBU,SC,Guatambú,4206652,Chapecó,Chapecó,Oeste Catarinense
HERVAL DOESTE,SC,Herval d'Oeste,4206702,Chapecó,Joaçaba - Herval d'Oeste,Oeste Catarinense
IBIAM,SC,Ibiam,4206751,Caçador,Videira,Oeste Catarinense
IBICARE,SC,Ibicaré,4206801,Chapecó,Joaçaba - Herval d'Oeste,Oeste Catarinense
IBIRAMA,SC,Ibirama,4206900,Blumenau,Ibirama - Presidente Getúlio,Vale do Itajaí
ICARA,SC,Içara,4207007,Criciúma,Criciúma,Sul Catarinense
ILHOTA,SC,Ilhota,4207106,Blumenau,Blumenau,Vale do Itajaí
IMARUI,SC,Imaruí,4207205,Criciúma,Tubarão,Sul Catarinense
IMBITUBA,SC,Imbituba,4207304,Florianópolis,Florianópolis,Sul Catarinense
IMBUIA,SC,Imbuia,4207403,Blumenau,Ituporanga,Vale do Itajaí
INDAIAL,SC,Indaial,4207502,Blumenau,Blumenau,Vale do Itajaí
IOMERE,SC,Iomerê,4207577,Caçador,Videira,Oeste Catarinense
IPIRA,SC,Ipira,4207601,Chapecó,Concórdia,Oeste Catarinense
IPORA DO OESTE,SC,Iporã do Oeste,4207650,Chapecó,São Miguel do Oeste,Oeste Catarinense
IPUACU,SC,Ipuaçu,4207684,Chapecó,Xanxerê,Oeste Catarinense
IPUMIRIM,SC,Ipumirim,4207700,Chapecó,Concórdia,Oeste Catarinense
IRACEMINHA,SC,Iraceminha,4207759,Chapecó,Maravilha,Oeste Catarinense
IRANI,SC,Irani,4207809,Chapecó,Concórdia,Oeste Catarinense
IRATI,SC,Irati,4207858,Chapecó,Chapecó,Oeste Catarinense
IRINEOPOLIS,SC,Irineópolis,4207908,Joinville,Mafra,Norte Catarinense
ITA,SC,Itá,4208005,Chapecó,Concórdia,Oeste Catarinense
ITAIOPOLIS,SC,Itaiópolis,4208104,Joinville,Mafra,Norte Catarinense
ITAJAI,SC,Itajaí,4208203,Blumenau,Itajaí,Vale do Itajaí
